2017-Jun-15 22:52:01.380868 Starting Circus
2017-Jun-15 22:52:01.384870 Ensuring database ../Data/capublic.db exists
2017-Jun-15 22:52:01.388873 Skipping database import 
2017-Jun-15 22:52:01.390875 Selecting all versions of all bills
2017-Jun-15 22:52:20.664363 All versions of all bills selected: 00:00:19.273488
2017-Jun-15 22:52:20.664363 Selecting most recent version of all bills
2017-Jun-15 22:59:49.831847 Most recent version of all bills selected: 00:07:29.167484
2017-Jun-15 23:00:16.863342 Selecting all unevaluated bill versions
2017-Jun-15 23:00:32.738915 Unevaluated bills selected: 00:00:15.875573
2017-Jun-15 23:00:41.824094 Starting Rankings
2017-Jun-15 23:29:15.657716 AB 238 Negative = 42, Positive = 0
2017-Jun-15 23:29:37.329789 AB 243 Negative = 39, Positive = 0
2017-Jun-15 23:29:41.142315 AB 247 Negative = 64, Positive = 0
2017-Jun-15 23:29:45.907980 AB 248 Negative = 27, Positive = 0
2017-Jun-15 23:29:55.548725 AB 250 Negative = 14, Positive = 10
2017-Jun-15 23:29:59.704981 AB 254 Negative = 490, Positive = 0
2017-Jun-15 23:30:05.236283 AB 258 Negative = 13, Positive = 10
2017-Jun-15 23:30:08.314435 AB 260 Negative = 31, Positive = 0
2017-Jun-15 23:30:21.392679 AB 262 Negative = 14, Positive = 0
2017-Jun-15 23:30:30.205270 AB 263 Negative = 112, Positive = 20
2017-Jun-15 23:30:32.455415 AB 265 Negative = 26, Positive = 20
2017-Jun-15 23:30:33.002340 AB 266 Negative = 67, Positive = 0
2017-Jun-15 23:30:53.893098 AB 271 Negative = 16, Positive = 0
2017-Jun-15 23:30:58.658768 AB 273 Negative = 145, Positive = 10
2017-Jun-15 23:30:58.908769 AB 274 Negative = 0, Positive = 0
2017-Jun-15 23:31:08.611995 AB 275 Negative = 259, Positive = 20
2017-Jun-15 23:31:09.690150 AB 276 Negative = 4, Positive = 0
2017-Jun-15 23:31:13.971407 AB 277 Negative = 18, Positive = 0
2017-Jun-15 23:31:16.237069 AB 284 Negative = 0, Positive = 0
2017-Jun-15 23:31:25.596525 AB 291 Negative = 2, Positive = 0
2017-Jun-15 23:31:25.862141 AB 293 Negative = 0, Positive = 0
2017-Jun-15 23:31:26.799648 AB 295 Negative = 0, Positive = 0
2017-Jun-15 23:31:35.940369 AB 300 Negative = 22, Positive = 10
2017-Jun-15 23:31:38.190377 AB 314 Negative = 18, Positive = 0
2017-Jun-15 23:31:58.471830 AB 315 Negative = 366, Positive = 20
2017-Jun-15 23:32:12.003198 AB 316 Negative = 33, Positive = 0
2017-Jun-15 23:32:13.221964 AB 321 Negative = 1, Positive = 0
2017-Jun-15 23:32:15.581360 AB 322 Negative = 4, Positive = 0
2017-Jun-15 23:32:17.222014 AB 323 Negative = 2, Positive = 0
2017-Jun-15 23:32:21.643899 AB 330 Negative = 18, Positive = 0
2017-Jun-15 23:32:24.862678 AB 331 Negative = 0, Positive = 10
2017-Jun-15 23:32:31.300276 AB 335 Negative = 118, Positive = 0
2017-Jun-15 23:32:59.441119 AB 342 Negative = 49, Positive = 20
2017-Jun-15 23:33:04.363040 AB 343 Negative = 0, Positive = 0
2017-Jun-15 23:33:08.113125 AB 345 Negative = 0, Positive = 0
2017-Jun-15 23:33:10.816224 AB 349 Negative = 0, Positive = 0
2017-Jun-15 23:33:20.847581 AB 353 Negative = 766, Positive = 10
2017-Jun-15 23:33:23.722622 AB 354 Negative = 3, Positive = 0
2017-Jun-15 23:33:43.379032 AB 355 Negative = 179, Positive = 0
2017-Jun-15 23:33:45.441538 AB 363 Negative = 2, Positive = 0
2017-Jun-15 23:33:56.910405 AB 365 Negative = 162, Positive = 36
