2017-Jun-18 11:31:20.989803 Starting Circus
2017-Jun-18 11:31:20.993806 Ensuring database ../Data/capublic.db exists
2017-Jun-18 11:31:20.998809 	capublic_bill_tbl creation
2017-Jun-18 12:38:35.616547 201720180SR1 is OK.
2017-Jun-18 12:38:35.727616 201720180SR2 is OK.
2017-Jun-18 12:38:35.846700 201720180SR4 is OK.
2017-Jun-18 12:38:35.987801 201720180SB3 is OK.
2017-Jun-18 12:38:36.108902 201720180SR9 is OK.
2017-Jun-18 12:38:36.233974 201720180SB54 is OK.
2017-Jun-18 12:38:36.328057 201720180SR7 is OK.
2017-Jun-18 12:38:36.425111 201720180SB129 is OK.
2017-Jun-18 12:38:36.553201 201720180SB117 is OK.
2017-Jun-18 12:38:36.729335 201720180SB130 is OK.
2017-Jun-18 12:38:36.828411 201720180SB131 is OK.
2017-Jun-18 12:38:36.925481 201720180SB132 is OK.
2017-Jun-18 12:38:37.019529 201720180AB61 is OK.
2017-Jun-18 12:38:37.125604 201720180SCR7 is OK.
2017-Jun-18 12:38:37.275710 201720180SCR6 is OK.
2017-Jun-18 12:38:37.385787 201720180SB83 is OK.
2017-Jun-18 12:38:37.499867 201720180SB82 is OK.
2017-Jun-18 12:38:37.662334 201720180SB84 is OK.
2017-Jun-18 12:38:37.797577 201720180SB43 is OK.
2017-Jun-18 12:38:37.962077 201720180AB156 is OK.
2017-Jun-18 12:38:38.076056 201720180AB157 is OK.
2017-Jun-18 12:38:38.176124 201720180AB158 is OK.
2017-Jun-18 12:38:38.306232 201720180AB159 is OK.
2017-Jun-18 12:38:38.410306 201720180AB160 is OK.
2017-Jun-18 12:38:38.530390 201720180SB136 is OK.
2017-Jun-18 12:38:38.636449 201720180SB137 is OK.
2017-Jun-18 12:38:38.750529 201720180AB151 is OK.
2017-Jun-18 12:38:38.901653 201720180AB152 is OK.
2017-Jun-18 12:38:39.003709 201720180AB154 is OK.
2017-Jun-18 12:38:39.137804 201720180SB138 is OK.
2017-Jun-18 12:38:39.242878 201720180SB139 is OK.
2017-Jun-18 12:38:39.336944 201720180AB155 is OK.
2017-Jun-18 12:38:39.485065 201720180SB140 is OK.
2017-Jun-18 12:38:39.579132 201720180ACR3 is OK.
2017-Jun-18 12:38:39.685207 201720180ACR5 is OK.
2017-Jun-18 12:38:39.834296 201720180SB141 is OK.
2017-Jun-18 12:38:39.937369 201720180SB142 is OK.
2017-Jun-18 12:38:40.063474 201720180SB143 is OK.
2017-Jun-18 12:38:40.161526 201720180SB144 is OK.
2017-Jun-18 12:38:40.285615 201720180SB146 is OK.
2017-Jun-18 12:38:40.426730 201720180SB147 is OK.
2017-Jun-18 12:38:40.587840 201720180SB145 is OK.
2017-Jun-18 12:38:40.726943 201720180SB148 is OK.
2017-Jun-18 12:38:40.896046 201720180ACR6 is OK.
2017-Jun-18 12:38:40.993115 201720180SR13 is OK.
2017-Jun-18 12:38:41.148225 201720180SB10 is OK.
2017-Jun-18 12:38:41.279317 201720180AB167 is OK.
2017-Jun-18 12:38:41.379388 201720180AB169 is OK.
2017-Jun-18 12:38:41.485463 201720180AB170 is OK.
2017-Jun-18 12:38:41.588534 201720180AB171 is OK.
2017-Jun-18 12:38:41.734655 201720180AB173 is OK.
2017-Jun-18 12:38:41.870734 201720180AB174 is OK.
2017-Jun-18 12:38:41.976808 201720180HR7 is OK.
2017-Jun-18 12:38:42.112922 201720180HR5 is OK.
2017-Jun-18 12:38:42.242997 201720180AB68 is OK.
2017-Jun-18 12:38:42.362081 201720180AB67 is OK.
2017-Jun-18 12:38:42.514205 201720180SCR4 is OK.
2017-Jun-18 12:38:42.621276 201720180SB64 is OK.
2017-Jun-18 12:38:42.771387 201720180SB151 is OK.
2017-Jun-18 12:38:42.862434 201720180SR9 is OK.
2017-Jun-18 12:38:42.960503 201720180SB62 is OK.
2017-Jun-18 12:38:43.054573 201720180SB63 is OK.
2017-Jun-18 12:38:43.176656 201720180SB152 is OK.
2017-Jun-18 12:38:43.279729 201720180SB153 is OK.
2017-Jun-18 12:38:43.393809 201720180SB154 is OK.
2017-Jun-18 12:38:43.545919 201720180SB155 is OK.
2017-Jun-18 12:38:43.669004 201720180SB156 is OK.
2017-Jun-18 12:38:43.786087 201720180ACR5 is OK.
2017-Jun-18 12:38:43.926186 201720180SB157 is OK.
2017-Jun-18 12:38:44.030276 201720180SCA2 is OK.
2017-Jun-18 12:38:44.134342 201720180AB215 is OK.
2017-Jun-18 12:38:44.246429 201720180AB216 is OK.
2017-Jun-18 12:38:44.360494 201720180AB94 is OK.
2017-Jun-18 12:38:44.463567 201720180AB217 is OK.
2017-Jun-18 12:38:44.593658 201720180AB226 is OK.
2017-Jun-18 12:38:44.696731 201720180AB225 is OK.
2017-Jun-18 12:38:44.796801 201720180AB227 is OK.
2017-Jun-18 12:38:44.954334 201720180AB1169 is OK.
2017-Jun-18 12:38:45.072296 201720180AB1175 is OK.
2017-Jun-18 12:38:45.246821 201720180AB230 is OK.
2017-Jun-18 12:38:45.383247 201720180AB231 is OK.
2017-Jun-18 12:38:45.519404 201720180AB232 is OK.
2017-Jun-18 12:38:45.662416 201720180AB233 is OK.
2017-Jun-18 12:38:45.797962 201720180AB1177 is OK.
2017-Jun-18 12:38:45.918814 201720180AB272 is OK.
2017-Jun-18 12:38:46.034895 201720180SB218 is OK.
2017-Jun-18 12:38:46.170991 201720180AB274 is OK.
2017-Jun-18 12:38:46.269062 201720180SB219 is OK.
2017-Jun-18 12:38:46.436180 201720180AB275 is OK.
2017-Jun-18 12:38:46.588289 201720180SR17 is OK.
2017-Jun-18 12:38:46.685356 201720180AB276 is OK.
2017-Jun-18 12:38:46.821451 201720180AB277 is OK.
2017-Jun-18 12:38:46.960557 201720180SB205 is OK.
2017-Jun-18 12:38:47.088641 201720180AB267 is OK.
2017-Jun-18 12:38:47.185712 201720180AB268 is OK.
2017-Jun-18 12:38:47.279774 201720180AB269 is OK.
2017-Jun-18 12:38:47.377845 201720180AB270 is OK.
2017-Jun-18 12:38:47.480934 201720180AB271 is OK.
2017-Jun-18 12:38:47.595014 201720180SB206 is OK.
2017-Jun-18 12:38:47.698088 201720180SB176 is OK.
2017-Jun-18 12:38:47.823160 201720180SB177 is OK.
2017-Jun-18 12:38:47.955269 201720180SB178 is OK.
2017-Jun-18 12:38:48.136397 201720180SB179 is OK.
2017-Jun-18 12:38:48.253463 201720180SB180 is OK.
2017-Jun-18 12:38:48.355552 201720180SB181 is OK.
2017-Jun-18 12:38:48.460609 201720180SB182 is OK.
2017-Jun-18 12:38:48.619739 201720180SB183 is OK.
2017-Jun-18 12:38:48.713805 201720180SB31 is OK.
2017-Jun-18 12:38:48.811877 201720180SB6 is OK.
2017-Jun-18 12:38:48.906942 201720180SB54 is OK.
2017-Jun-18 12:38:49.003009 201720180SR16 is OK.
2017-Jun-18 12:38:49.132101 201720180SCR7 is OK.
2017-Jun-18 12:38:49.230170 201720180AB235 is OK.
2017-Jun-18 12:38:49.355242 201720180SB1 is OK.
2017-Jun-18 12:38:49.489354 201720180SB189 is OK.
